,Title,Link,Day,Time,Where,Image link
10,India Biggest Entrepreneurs Launchpad Event,https://www.facebook.com/events/800569698437624/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP AT 09:00 UTC+05:30,Indira Gandhi Stadium,N/A
12,"IAPAE 14th Annual Conference in Gandhinagar, India",https://www.facebook.com/events/2693811604093603/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 21 SEP-24 SEP,Indian Institute of Technology-Gandhinagar,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/362280566_625964866294668_5582519863227747774_n.jpg?stp=c22.0.360.240a_dst-jpg_s168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=ucwBJq2yYskAX-6kbq-&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBrmrsaDo6AVv-itf8UqSzCzDfRyTmFn2NKuRsSsu_Gaw&oe=650C4FBB
13,Entrepreneurship Launchpad India 's Largest Event in Delhi,https://www.facebook.com/events/1335828210344261/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP AT 21:00 UTC+05:30,Indira Gandhi Stadium,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/366827324_306124435136764_4949191813790133899_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=110&ccb=1-7&_nc_sid=934829&_nc_ohc=bTVROYXSspAAX-QMj_a&_nc_ht=scontent.fbho3-1.fna&oh=00_AfCAYBqIYypzvIDthcSje9EC1vU0I2ucBllB3ByTNprRSQ&oe=650DC172
14,Entrepreneur's Launchpad || India's Mega Event || Bada Business,https://www.facebook.com/events/318315227226815/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP AT 12:00 UTC+05:30,Indra Gandhi Stadium,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/368343918_332679442564325_5589963055223937494_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=XSIVp0CqE94AX_aLuUO&_nc_ht=scontent.fbho3-1.fna&oh=00_AfCyLLSksQQCV22fA5PNh_NBvq396vnmjnXFPtY6garDKQ&oe=650D9041
15,Entrepreneur Launchpad (Biggest Event Ever In India),https://www.facebook.com/events/189949197391467/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP-24 SEP,Indira Gandhi Stadium,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/362925586_291992910155541_2786973496770544075_n.jpg?stp=c100.0.1080.720a_dst-jpg_s168x128&_nc_cat=100&ccb=1-7&_nc_sid=934829&_nc_ohc=ZvBPLjvkpsYAX-8z4M1&_nc_ht=scontent.fbho3-1.fna&oh=00_AfDu1QL4DtTzqBGwc6OlGxNB8bXsyTdNXIZL8AZoM15hNA&oe=650DCB8F
16,Elite Cricket Academy Tour of India September 2023,https://www.facebook.com/events/843220963756762/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,4 interested · 3 going,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/378172044_715177330625583_3488733658093225677_n.jpg?stp=c0.56.2048.1366a_cp6_dst-jpg_s168x128&_nc_cat=105&ccb=1-7&_nc_sid=934829&_nc_ohc=uxK4gpqqIl4AX86ww2R&_nc_ht=scontent.fbho3-2.fna&oh=00_AfB4cz8wIbjzbmrqw8lcZQfhnX2egwuiXHkFzP0vPA6-xg&oe=650CCD20
17,VIAGEM DE AVENTURA À ÍNDIA 2023,https://www.facebook.com/events/251997367164601/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,Índia,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/337275376_971435104033978_5460454462672279814_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=104&ccb=1-7&_nc_sid=934829&_nc_ohc=NLUw9MwWe_4AX_afkx9&_nc_ht=scontent.fbho3-2.fna&oh=00_AfA3dZBTxjKH1_5uJ22WBgVkJdy1r7FVTg17fnt_SJPqSw&oe=650CB4E3
18,Dakkhan the Heritage of Westen India Exhibition by PNG SONS,https://www.facebook.com/events/836858068097739/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,51 interested · 1 going,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/374772982_620851996878035_3576691306120627478_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=ezRcQ-sMaqMAX9L4R16&_nc_oc=AQn-KtNloajbjgVyueq2zKWZ2XnaFUClKcqfq63e-su0EWbStZkI4UqY9rtPg0QJ7p5pe0VYB0Bh2EVXu7OiaXc9&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBQpnhJmP6NCyp0slkvzzLTrm2H3dRCDmvFULeXfsk2UQ&oe=650D71AD
19,India's Biggest Entrepreneur Launchpad hosted by Mr.Dr. VIVEK BINDRA SIR,https://www.facebook.com/events/1024419265637807/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP-24 SEP,Indira Gandhi Stadium New Delhi,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/364120528_185014314569915_5733510653306043248_n.png?stp=c153.0.1566.1044a_dst-jpg_s168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=nrxCjWlrEQYAX-ceOo3&_nc_ht=scontent.fbho3-2.fna&oh=00_AfBuIV8aHREVk6zYcYr2kpo-1Xj6sSrzWb4zuZeq6Vr5JQ&oe=650C7289
20,Urban Vivah -India's Most Successful Wedding Collection Exhibition - Ahmedabad (September 2023).,https://www.facebook.com/events/662663838746266/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 21 SEP-23 SEP,Ahmedabad Haat Vastrapur,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/362290801_320521653643879_545428946117433177_n.jpg?stp=c172.0.1256.837a_dst-jpg_s168x128&_nc_cat=100&ccb=1-7&_nc_sid=934829&_nc_ohc=7vps6d8cig0AX9FwdAR&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBk5tvWdyFzw9IchiygWiBfsbmvHxpnHqYFzfna_bYxVg&oe=650DBF61
21,Entrepreneur's Launchpad ; India's biggest event with celebrity billionaires professors,https://www.facebook.com/events/255290277307373/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP-24 SEP,Indira Gandhi Indoor Stadium,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/364130186_242224572065338_1745137272259657833_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=107&ccb=1-7&_nc_sid=934829&_nc_ohc=p1JUXVC6P1QAX9piEt1&_nc_ht=scontent.fbho3-2.fna&oh=00_AfAnEk-ww9AhTtF-yhSC0qRBONfSkMmpo_Dxjf9LraVpDA&oe=650CA278
22,Ind vs aus 3rd odi,https://www.facebook.com/events/319781700589395/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 24 SEP AT 20:45 UTC+05:30,"Holkar Cricket Stadium,Indore",https://scontent.fbho3-3.fna.fbcdn.net/v/t39.30808-6/378807842_3450362101846845_9093229625947306743_n.jpg?stp=c0.40.1440.960a_dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=90v3wZiYB8gAX9YmbON&_nc_ht=scontent.fbho3-3.fna&oh=00_AfAuVS4KpBnN-72h_sOctvxCR3folwkrRzr5V5v2IpKZxQ&oe=650D5827
23,LAUNCHING Entrepreneur Launchpad💯 India's Biggest Entrepreneurial Events 23nd & 24th September,https://www.facebook.com/events/1024758901869657/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 24 SEP AT 09:00 UTC+05:30,Indira Gandhi Stadium,https://scontent.fbho3-3.fna.fbcdn.net/v/t39.30808-6/363829191_2242075372656441_2329593184397237171_n.jpg?stp=c84.0.909.606a_dst-jpg_s168x128&_nc_cat=101&ccb=1-7&_nc_sid=934829&_nc_ohc=vWTPpDZjaY8AX-5wx9f&_nc_ht=scontent.fbho3-3.fna&oh=00_AfBheYHCn5itxS_XlILEOGeTbijoBPs6Q9GP-aj_V-gE1w&oe=650E0BC5
24,Bangalore Arts and Crafts Mela,https://www.facebook.com/events/2084352815242936/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,Karnataka Chitrakala Parishath,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/372903460_750264243780689_8125975630314432467_n.jpg?stp=c132.0.1446.964a_dst-jpg_s168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=J2vnF6M0nvkAX8p-WS0&_nc_ht=scontent.fbho3-1.fna&oh=00_AfDcDKdgahvJAMhj5vmxJxBaBva9WdOUT6P_9SpxtjCj8A&oe=650D200B
25,Indian Ocean Live,https://www.facebook.com/events/975994887062726/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP AT 06:30 PDT,Prestige Shantiniketan,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/369269226_610185317888472_2233354344710741522_n.png?stp=c153.0.1566.1044a_dst-jpg_s168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=sfM8FmWS4qgAX9PDUq8&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBRoqMxM-YuUPva1JWwZUbZMxghzJBOX83rwDacGRdepw&oe=650CB96D
26,3 day shivir mata masani sadhna,https://www.facebook.com/events/1336866510369186/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP-25 SEP,"Maa Baglamukhi Mandir, Nalkheda",https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/375862312_707349181433469_6784134433877962675_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=QMunf-dclr0AX-_oIE3&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBVMzn5L0GUN3sZuJ0Jva2j_0HXzs_2qsmiJ4Ij8_bENQ&oe=650C86A0
27,Kala Ke Rang 22 (National Art Exhibition),https://www.facebook.com/events/653731859534879/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP-24 SEP,Canarys National Art Foundation,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/354461310_669807685186042_4477627601610860759_n.jpg?stp=c150.0.1620.1080a_dst-jpg_s168x128&_nc_cat=105&ccb=1-7&_nc_sid=934829&_nc_ohc=uOtRtJ2s5FQAX8mDNig&_nc_ht=scontent.fbho3-2.fna&oh=00_AfDG09w-j5N_6vx7M5xSJohMW3YFfAiCa9Ne7oi5t9tdog&oe=650D2488
28,श्री गणेश अनुष्ठान,https://www.facebook.com/events/826067019194242/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,TUES, 19 SEP-29 SEP,Amdara,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/379176378_185836087864826_262398267803332928_n.jpg?stp=c0.37.168.112a_dst-jpg_p168x128&_nc_cat=100&ccb=1-7&_nc_sid=934829&_nc_ohc=UCa1I6R_UYkAX-I14J9&_nc_ht=scontent.fbho3-1.fna&oh=00_AfBrd0qdede9O51dfJWoayplWbABsH_50CDL3eRfUg2tgw&oe=650DE68C
29,Navratri Special Wedding & Lifestyle Exhibition - Ahmedabad (September 2023),https://www.facebook.com/events/923238222110450/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 22 SEP-24 SEP,Rajpath Club,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/376559361_921976229290217_368886631389985779_n.jpg?stp=c206.0.1509.1006a_dst-jpg_s168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=NFKmcmA3JXUAX-EUsIN&_nc_ht=scontent.fbho3-1.fna&oh=00_AfByjD9QsOzsiEE4zr7zdOHMxIWE78ALrX2qbwnsHuq2lQ&oe=650D134C
30,6th North East Patient Safety Workshop at down town hospital on 23rd of September 2023,https://www.facebook.com/events/310691161358082/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP AT 08:00 UTC+05:30,down town hospital,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/363424283_690433223098395_6141209983946167131_n.jpg?stp=c140.0.540.360a_dst-jpg_s168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=wujn94BYBeYAX-OKPx1&_nc_ht=scontent.fbho3-1.fna&oh=00_AfCcVj6HxCqAPKWjPKGkYnqQrlqLdDC8XnVr-zY_HJ-WsQ&oe=650E1CC1
32,Haridwar | Rishikesh | Dehradun| Mussoorie,https://www.facebook.com/events/750769616704678/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 21 SEP-28 SEP,Howrah Junction Railway Station,https://scontent.fbho3-3.fna.fbcdn.net/v/t39.30808-6/343324016_753713916202357_4172896635976417423_n.jpg?stp=c0.41.168.112a_dst-jpg_p168x128&_nc_cat=101&ccb=1-7&_nc_sid=934829&_nc_ohc=Jq126Op-xUUAX8z1YzW&_nc_ht=scontent.fbho3-3.fna&oh=00_AfD6T72OI_zj6VfSeHyaCyAZszhSKDxisyjF4DHPo2av4g&oe=650DA1A5
33,Entrepreneur's Launchpad (world's biggest business event with celebrity professors),https://www.facebook.com/events/1359035078363198/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP-24 SEP,Indira Gandhi Indoor Stadium,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/367387519_7177752882251987_9146522659946931596_n.jpg?stp=c0.15.168.112a_dst-jpg_p168x128&_nc_cat=110&ccb=1-7&_nc_sid=934829&_nc_ohc=MNTl_ixho44AX-v30lk&_nc_ht=scontent.fbho3-1.fna&oh=00_AfB1DdqQTsBUQQAj_NWKSJYC-ckLNsK-qByigp29WIwTfg&oe=650DA2AA
34,GHATSHILA RIDE DEDICATED TO ISRO,https://www.facebook.com/events/255398054049548/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP AT 04:00 UTC+05:30,Kolkata city of joy,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/370644908_322609733610177_5250830205186320737_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=cquALW69Kn8AX-lvIDp&_nc_ht=scontent.fbho3-1.fna&oh=00_AfCdx2zbf1w8pbNzMj0FznIlL5wIu1p87Dma6wNZTI0h_Q&oe=650E1D6B
35,Delhi Music Festival 2023,https://www.facebook.com/events/315336207533454/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 22 SEP-24 SEP,Dhyan Chand National Stadium,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/378571089_691693006318392_3587394702163065254_n.jpg?stp=c117.0.1082.721a_dst-jpg_s168x128&_nc_cat=110&ccb=1-7&_nc_sid=934829&_nc_ohc=LjHNDfl0dX0AX8PXoRW&_nc_ht=scontent.fbho3-1.fna&oh=00_AfD9aXyEG6FOUfiWveM_yFw9AJoskZEpKUCwtXJR_mxurg&oe=650C86C2
36,Sunday Jam Session,https://www.facebook.com/events/1198623687620776/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 24 SEP AT 20:30 UTC+05:30,The Piano Man Jazz Club,https://scontent.fbho3-2.fna.fbcdn.net/v/t39.30808-6/356417480_642985677853848_2938792580980014092_n.jpg?stp=dst-jpg_s168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=1Tgu10LY7bMAX-zagLf&_nc_ht=scontent.fbho3-2.fna&oh=00_AfDym3a4iiVo3yrrgRL17cZnIhbJjNLx6LjszgWkVrZv-A&oe=650DF4FD
37,Entrepreneur Launchpad Event,https://www.facebook.com/events/289447803731816/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 23 SEP AT 09:00 UTC+05:30,Indira Gandhi Arena,https://scontent.fbho3-1.fna.fbcdn.net/v/t39.30808-6/365971941_1439777236871285_2871008570625712484_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=100&ccb=1-7&_nc_sid=934829&_nc_ohc=nvg_rBz97aoAX9c1_zv&_nc_ht=scontent.fbho3-1.fna&oh=00_AfDT4W2_cVZ2DGTIebyffLeVuIyz-UWxtAn_-4e__lvOkw&oe=650D0BC9
