,Title,Link,Day,Time,Where,Image link
10,Top Designer DUBAI Fashion Week 2023,https://www.facebook.com/events/719508116542653/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,FRI, 8 SEP AT 06:00 UTC+04,Dubai UAE,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/369948845_636939408538107_4500544118874434035_n.jpg?stp=c59.0.886.591a_dst-jpg_s168x128&_nc_cat=107&ccb=1-7&_nc_sid=934829&_nc_ohc=7umLJyjxkYgAX_-twZt&_nc_ht=scontent.fbho2-1.fna&oh=00_AfA1wA1cfMJ-GxrvWtQZNFzRBshqg35Hm_9M9ZXxRgI_Sg&oe=64FDD302
11,DIVAlicious Dubai- POP UP Exhibition,https://www.facebook.com/events/763672479093445/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 10 SEP AT 10:00 UTC+05:30,Jumeirah Emirates Towers,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/367034804_683815643791683_6172030501072626715_n.jpg?stp=c175.0.1250.833a_dst-jpg_s168x128&_nc_cat=104&ccb=1-7&_nc_sid=934829&_nc_ohc=xRzm4gixXSkAX8mfNv0&_nc_ht=scontent.fbho2-1.fna&oh=00_AfDyaC8LA0Mo12A-V0AE6KsnMRq1Lw2ziQ2bCmYldPwE3A&oe=64FDF648
12,⛳Captains Drive in 2023 Race to Phuket,https://www.facebook.com/events/585903570195597/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 16 SEP AT 07:00 UTC+04,Abu Dhabi City Golf Club,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/371935471_680983690728302_6298242070730042032_n.jpg?stp=c147.0.1754.1169a_dst-jpg_s168x128&_nc_cat=107&ccb=1-7&_nc_sid=934829&_nc_ohc=howJmNW1eVwAX9KR9Cq&_nc_ht=scontent.fbho2-1.fna&oh=00_AfD4Bfbyz9TRZdjY8sW-7D-fH0F2hYvkbRMSIOv_6JSlQQ&oe=64FD3BC4
13,UFC 294 in Abu Dhabi,https://www.facebook.com/events/555315386697187/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 21 OCT AT 16:00 UTC+04,Etihad Arena,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/338140466_126396063732720_5096232627907180186_n.jpg?stp=c150.0.1620.1080a_dst-jpg_s168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=kSXOg3t-O5kAX-zd-V5&_nc_ht=scontent.fbho2-1.fna&oh=00_AfC1p7uZsspbFxdX_9PiLCIorG1zLEjJN7PDTotdN0K-cg&oe=64FD930A
14,International meetings in Dubai,https://www.facebook.com/events/3429468547282758/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 14 SEP AT 20:00 UTC+04,191 interested · 27 going,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/291982063_125420746852870_2832469283381502032_n.jpg?stp=c0.14.541.361a_dst-jpg_s168x128&_nc_cat=110&ccb=1-7&_nc_sid=934829&_nc_ohc=u40PsrEvWJgAX80sLZP&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCg8UgLQpKd5iD5b-8nehogMQnQ4j9X0XHlEpPpaGWM3g&oe=64FDEB24
15,𝐁𝐋𝐈𝐒𝐒𝐓𝐑𝐎𝐍𝐈𝐂 𝐟𝐭. 𝐇𝐈𝐋𝐋𝐓𝐎𝐏 𝐍𝐈𝐆𝐇𝐓 (𝐎𝐩𝐞𝐧 𝐀𝐢𝐫) 𝐁𝐀𝐑𝐀𝐒𝐓𝐈 - 𝐃𝐔𝐁𝐀𝐈,https://www.facebook.com/events/683402460359473/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 18:00 UTC+04,Barasti - Dubai,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/371985559_837869194403999_7798376044418932242_n.jpg?stp=c160.0.1728.1152a_dst-jpg_s168x128&_nc_cat=101&ccb=1-7&_nc_sid=934829&_nc_ohc=tzzYoqai4KYAX9oV3v8&_nc_ht=scontent.fbho2-1.fna&oh=00_AfDKR9oclGXNP_9jemeiXr7Koe2xJEVHYp7YeEthRcb4DQ&oe=64FCB17F
16,"NAVRATRI FESTIVE SOUQ, EXHIBITION SALE",https://www.facebook.com/events/255341137239743/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 30 SEP-1 OCT,Jumeirah Lakes Towers,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/360108836_3657748437841843_895761669498656527_n.jpg?stp=c362.0.2172.1448a_dst-jpg_s168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=CIOquKmrUSgAX8OOUAA&_nc_ht=scontent.fbho2-1.fna&oh=00_AfD_D3wwlitoQWJtBwDHArq_BqHRmHJ-rLcYR_5cb0_olQ&oe=64FD9F76
17,Birthday of a king's son. ( Massive giveaway 🙌)https://video-earn.makeup/2665396528070769/,https://www.facebook.com/events/1705698086613132/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 7 SEP AT 00:00 UTC+04,Online,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/365914342_1661269951071061_313655478777028149_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=102&ccb=1-7&_nc_sid=934829&_nc_ohc=GRir_Ef2Un0AX9Fbrd_&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCA3NfRoPTWFasWO4lEZkeYQPuj-Hpz65KFyCjuv-HDFA&oe=64FD017D
18,Habibi! Let's go Dubai,https://www.facebook.com/events/112803938525029/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 25 NOV-30 NOV,"Dubai,UAE",https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/360085399_811276633925631_8389043852821856687_n.jpg?stp=c23.0.682.455a_dst-jpg_s168x128&_nc_cat=110&ccb=1-7&_nc_sid=934829&_nc_ohc=EqtaRS145DUAX8qbqiQ&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCgqwKuTl5rahghuisTSvb6zMgW8llz_8-11jgKQKR-aA&oe=64FCDAD7
19,Architecture & Design Market in the United Arab Emirates (Webinar),https://www.facebook.com/events/294253656637623/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,TUES, 26 SEP AT 10:00 UTC+03,Online,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/375602074_697119875790862_7366575791502865708_n.jpg?stp=c206.0.1500.1000a_dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=K-Vzweu4TpMAX9Jx54o&_nc_oc=AQnHDw8a1bQ6jcld1ZXXSjCtvnm9jNd0JDYF7qPsH2M7ddbUt3POH-za5DvRw5u1__LFu9ukiFDihSAm-HBv7EBX&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCMR_foGx-hJx4BaOLGspMSTmgjfDNJpByIWxgOC1f1Lw&oe=64FD68AF
20,5-Day Digital Marketing (paired with AI) Masterclass,https://www.facebook.com/events/1025988221704329/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,Today,Happening Now,The Address Hotel Dubai Marina,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/343925644_148619191513074_2379606045264429802_n.jpg?stp=c165.0.1206.804a_dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=-m4sTVdJqWIAX-pVm3j&_nc_ht=scontent.fbho2-1.fna&oh=00_AfAXAFKJIvg0-0sycnridS5oS4Y0SeJds-Hu7064WW-1og&oe=64FE1377
21,The Dubai Experience,https://www.facebook.com/events/908721117082612/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,TUES, 19 SEP-25 SEP,Dubai UAE,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/342174583_196057289863277_706301833861204518_n.jpg?stp=c66.0.164.110a_dst-jpg_p296x100&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=3_CIYlxJbj4AX_Llk3X&_nc_ht=scontent.fbho2-1.fna&oh=00_AfDO1H6bXXFgsdBIkIPsf2WR43rXb7XCe_UmU_22XHo-tA&oe=64FDADA4
22,2023 LeadingRE Global Symposium,https://www.facebook.com/events/2887551001379865/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 27 SEP-29 SEP,Grand Hyatt Dubai,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/353633961_650313530468238_3123494875449982329_n.jpg?stp=c129.0.942.628a_dst-jpg_s168x128&_nc_cat=109&ccb=1-7&_nc_sid=934829&_nc_ohc=GPDaFa5ID-kAX_ZkyRV&_nc_ht=scontent.fbho2-1.fna&oh=00_AfAauWYXXt6pUNc_xddQPqaMqfSwKjqM4-b-QunzL7zBHg&oe=64FD5FC1
23,"Dubai UAE 🇦🇪 October 21 - October 28, 2023",https://www.facebook.com/events/544350183777024/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 21 OCT-28 OCT,United Arab Emirates Dubai,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/279513675_10224112695658760_4980455316212453775_n.jpg?stp=c105.0.630.420a_dst-jpg_s168x128&_nc_cat=105&ccb=1-7&_nc_sid=934829&_nc_ohc=5hoFaOIEPuYAX8ljaQf&_nc_ht=scontent.fbho2-1.fna&oh=00_AfB8Gz1xA5N9CenUwOEYS8zC7XVG19SwMFx8iO0UnvZFlg&oe=64FD9B5D
24,Celebrations & Destinations in Dubai,https://www.facebook.com/events/1189267508603245/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 14 OCT-20 OCT,"Dubai, United Arab Emiratesدبي",https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/315298275_790216299027267_5087149629728396542_n.jpg?stp=c0.10.168.112a_dst-jpg_p168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=B490eyP6sP0AX9PDLIO&_nc_ht=scontent.fbho2-1.fna&oh=00_AfAUT7C0lvV5gApBUwn6Hwagzxit-WTujN4u71eFytlbcQ&oe=64FD5BA1
25,Dubai and Maldives,https://www.facebook.com/events/1073466030004358/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,TUES, 19 SEP-26 SEP,"Dubai, United Arab Emiratesدبي",https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/310115555_10227447521402596_2032299480208455021_n.jpg?stp=c94.0.772.515a_dst-jpg_s168x128&_nc_cat=106&ccb=1-7&_nc_sid=934829&_nc_ohc=DD6wBBlkdxsAX-uADAe&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCcObLxJy_gAU5F3ZkLQxAap8V6HeMF6Uyw4M4UDotAYw&oe=64FCAC0C
26,Robbie Williams,https://www.facebook.com/events/1466835387479620/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 18 OCT AT 20:00 UTC+04,Etihad Arena,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/354582035_10161143491868641_5552540348403059409_n.jpg?stp=c160.0.1728.1152a_dst-jpg_s168x128&_nc_cat=104&ccb=1-7&_nc_sid=934829&_nc_ohc=cksoDjJfcigAX82A0kO&_nc_ht=scontent.fbho2-1.fna&oh=00_AfAlF_yysJJBTT6IHPZGs7B9pj06xX-KMGJSC3tNXVqIpg&oe=64FD8A0F
27,Development Class,https://www.facebook.com/events/259107143726115/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 10 SEP AT 18:00 UTC+04,gaia.dubai,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/369360647_264329303164519_7917549549018152961_n.jpg?stp=c150.0.1620.1080a_dst-jpg_s168x128&_nc_cat=104&ccb=1-7&_nc_sid=934829&_nc_ohc=Ixh61s11F5MAX_WCnBw&_nc_ht=scontent.fbho2-1.fna&oh=00_AfAgwVI9hXtaMR4W8Lu4ofwSGqDMdkpdqF47ejOZLKIOkA&oe=64FCDC6C
28,"Dubai, UAE",https://www.facebook.com/events/3466604636903486/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 28 SEP-5 OCT,"Dubai, United Arab Emirates",https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/310063282_1439614556546018_7768583895786712471_n.jpg?stp=c0.17.161.108a_cp6_dst-jpg_p160x160&_nc_cat=104&ccb=1-7&_nc_sid=934829&_nc_ohc=a6LOkdAlwI8AX8fjk3N&_nc_ht=scontent.fbho2-1.fna&oh=00_AfA1Fw73O6TFFE0IqFxJU-3CjvkRaGdvM2VrVXcJ0z9xPw&oe=64FDC1F4
29,Enchanting Dubai,https://www.facebook.com/events/1357694434999306/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,WED, 10 JAN 2024-16 JAN 2024,Dubai,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/327446399_1208946473046515_3568838207943251710_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=107&ccb=1-7&_nc_sid=934829&_nc_ohc=irTMRIzRaF4AX8pQbyC&_nc_ht=scontent.fbho2-1.fna&oh=00_AfCy-fUc85toaEDRF-1GkcPx1JKgSQ8Aq3kM_oPvoxuO0w&oe=64FD8E27
30,"0558354661 DEAR CUSTOMER,WE PROVIDE THE BEST MOVING PICK UP SERVICES ANY TI",https://www.facebook.com/events/129170844381671/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP AT 13:00 UTC+04,"Dubai, United Arab Emirates",N/A
31,"0558354661 DEAR CUSTOMER,WE PROVIDE THE BEST MOVING PICK UP SERVICES ANY TI",https://www.facebook.com/events/328815167580955/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SUN, 10 SEP AT 12:00 UTC+04,"Dubai, United Arab Emirates",N/A
32,"14-19 September 2023 5N6D Guaranteed Dubai Fixed Group Departure ex DEL, BOM, BLR, HYD, AMD & MAA",https://www.facebook.com/events/228405033138340/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,THURS, 14 SEP-19 SEP,"Dubai, United Arab Emiratesدبي",https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/343441980_1448849162609540_7385486808884083462_n.jpg?stp=c150.0.1620.1080a_dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=C18iB9jPOzgAX-Blii8&_nc_ht=scontent.fbho2-1.fna&oh=00_AfB59BG_i-m7oBYz4sI4DlTK4UWFUMGB70gffJaNOufDXw&oe=64FDC6E3
33,Arab Gasshuku 2024,https://www.facebook.com/events/668719628472895/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 4 MAY 2024-5 MAY 2024,TOGKF UAE,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/368383483_767067208754383_1375330061537075353_n.jpg?stp=c0.37.168.112a_cp6_dst-jpg_p168x128&_nc_cat=111&ccb=1-7&_nc_sid=934829&_nc_ohc=IltS7EIX4-oAX_Ee150&_nc_ht=scontent.fbho2-1.fna&oh=00_AfB6IlRyLb0dkKXHHyOfoY2NjWoU7aZc5akMhjCEDuJ5xQ&oe=64FCA2B6
34,Dashing Dubai 2023,https://www.facebook.com/events/1225000158284055/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 9 SEP-13 SEP,"Dubai, United Arab Emiratesدبي",https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/305455494_591898885694385_875509700925942547_n.jpg?stp=c115.0.338.225a_dst-jpg_s168x128&_nc_cat=108&ccb=1-7&_nc_sid=934829&_nc_ohc=zwpHdkyzmM0AX_v-uKt&_nc_ht=scontent.fbho2-1.fna&oh=00_AfDmLt_xKiatzVWkkh0z93QP3yenMB8CYWywiyGu1avT1Q&oe=64FD4198
35,Crociera Emirati Arabi,https://www.facebook.com/events/750165639727902/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22bookmark_search%22%7D]%2C%22ref_notif_type%22%3Anull%7D,SAT, 20 JAN 2024-27 JAN 2024,Emirati Arabi,https://scontent.fbho2-1.fna.fbcdn.net/v/t39.30808-6/332264165_3307389592845802_3352473171942170539_n.jpg?stp=c0.18.168.112a_dst-jpg_p168x128&_nc_cat=103&ccb=1-7&_nc_sid=934829&_nc_ohc=o0k5BhMlCEcAX9qShqQ&_nc_ht=scontent.fbho2-1.fna&oh=00_AfBL8TjBub3Gcrh8q25wSIijYU1M8P6cOrDvba_kWiVNsQ&oe=64FDFDA0
